file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20151122172614Mh.jpeg,010103-20151122172614Mh,010101-20151122172614Mh,3,12048,24972,8,14,0.3181413565960477
20131011195414Mh.jpeg,010403-20131011195414Mh,010402-20131011195414Mh,3,6857,19234,4,15,0.318926296633303
20150221155154Bh.jpeg,010401-20150221155154Bh,010402-20150221155154Bh,3,9877,23168,5,12,0.3205850617431963
20161224024154Uh.jpeg,010101-20161224024154Uh,010102-20161224024154Uh,3,10740,4447,6,4,0.32141303402070825
20220721185332Bh.jpeg,010403-20220721185332Bh,010401-20220721185332Bh,3,10992,23021,7,17,0.32227967188897094
20110215083814Th.jpeg,010402-20110215083814Th,010403-20110215083814Th,3,11664,8326,4,4,0.3229649238914626
20110128174814Mh.jpeg,010401-20110128174814Mh,010403-20110128174814Mh,3,6394,3139,3,1,0.3240277777777778
20170222133710Th.jpeg,010203-20170222133710Th,010202-20170222133710Th,2,749,1724,1,2,0.3260053619302949
20170119031254Uh.jpeg,010401-20170119031254Uh,010402-20170119031254Uh,3,1689,3998,2,4,0.32656869605784933
20120427063154Uh.jpeg,010102-20120427063154Uh,010101-20120427063154Uh,2,43759,34877,6,10,0.32884953359470054
20140414195834Ch.jpeg,050103-20140414195834Ch,050101-20140414195834Ch,3,29301,13255,14,8,0.3295010778218626
20110923165814Mh.jpeg,010401-20110923165814Mh,010402-20110923165814Mh,3,6597,18233,7,6,0.33229597038149916
20130107174854Bh.jpeg,050103-20130107174854Bh,050101-20130107174854Bh,3,17854,12584,7,4,0.33330413071093784
20111229063154Uh.jpeg,010401-20111229063154Uh,010402-20111229063154Uh,3,4165,7459,3,9,0.33348629115521394
20140508195834Ch.jpeg,040301-20140508195834Ch,040302-20140508195834Ch,2,3238,5254,3,6,0.333961671379202
20170831170750Bh.jpeg,010302-20170831170750Bh,010303-20170831170750Bh,2,5682,11443,3,3,0.3342423061940008
20140509071314Th.jpeg,010402-20140509071314Th,010401-20140509071314Th,3,6277,3759,5,4,0.3343970216726499
20190609123330Ch.jpeg,010301-20190609123330Ch,010302-20190609123330Ch,2,2188,5485,4,3,0.3346668985910593
20150423120034Ch.jpeg,010401-20150423120034Ch,010403-20150423120034Ch,3,26210,35184,15,9,0.3361916991316082
20190626025430Lh.jpeg,010103-20190626025430Lh,010101-20190626025430Lh,3,621,1539,1,2,0.33663366336633666
20131107043054Uh.jpeg,010402-20131107043054Uh,010401-20131107043054Uh,3,18665,14179,10,10,0.33773216031280545
20160430133714Th.jpeg,010402-20160430133714Th,010403-20160430133714Th,2,5752,2137,6,3,0.33802578018995927
20131011195414Mh.jpeg,010401-20131011195414Mh,010402-20131011195414Mh,3,9575,19234,5,15,0.3385215815639084
20140509071314Th.jpeg,010403-20140509071314Th,010401-20140509071314Th,3,6551,3759,6,4,0.33896103896103896
20120404063154Uh.jpeg,010403-20120404063154Uh,010401-20120404063154Uh,3,13463,10636,3,5,0.3393541932973934
20111218085014Th.jpeg,050101-20111218085014Th,050102-20111218085014Th,3,20303,42104,10,12,0.34073087417019354
20140604195854Bh.jpeg,010101-20140604195854Bh,010102-20140604195854Bh,3,7140,4289,8,2,0.34143192488262913
20120913165314Mh.jpeg,010403-20120913165314Mh,010402-20120913165314Mh,3,3798,9961,3,3,0.342079594225517
20140710083214Th.jpeg,050101-20140710083214Th,050102-20140710083214Th,3,17118,40336,12,10,0.34301075268817205
20111218085014Th.jpeg,050101-20111218085014Th,050103-20111218085014Th,3,20303,33265,10,14,0.3431960081241694
20110128174814Mh.jpeg,010402-20110128174814Mh,010403-20110128174814Mh,3,5646,3139,3,1,0.3445056626874809
20180202130330Ch.jpeg,050102-20180202130330Ch,050101-20180202130330Ch,3,7273,3375,1,2,0.3446142189670413
20150423120034Ch.jpeg,010402-20150423120034Ch,010403-20150423120034Ch,3,22048,35184,16,9,0.34533743917632403
20131107043054Uh.jpeg,010401-20131107043054Uh,010403-20131107043054Uh,3,14179,14777,10,7,0.34603941985868353
20160403170114Mh.jpeg,010402-20160403170114Mh,010401-20160403170114Mh,3,11196,8230,6,4,0.3466897746967071
20160401170314Mh.jpeg,010101-20160401170314Mh,010103-20160401170314Mh,3,15854,6946,6,8,0.34767703038184183
20130303063154Uh.jpeg,010401-20130303063154Uh,010402-20130303063154Uh,3,2684,5684,1,2,0.3477210500885811
20110711071214Th.jpeg,040301-20110711071214Th,040302-20110711071214Th,2,4322,8641,5,8,0.349188176519567
